data_year,criminal_act_id,offense_id
2024,6,232006580
2024,12,228363509
2024,9,230838066
2024,6,223367776
2024,6,223367777
2024,6,232006492
2024,9,232006511
2024,6,223367781
2024,6,223367782
2024,12,227254450
2024,6,230837594
2024,6,233483376
2024,6,233483377
2024,6,233483386
2024,6,233483387
2024,6,236218389
2024,8,236218389
2024,6,236218390
2024,8,236218390
2024,9,223367784
2024,8,236218345
2024,6,238437534
2024,7,238437534
2024,6,238437535
2024,7,238437535
2024,9,238437537
2024,9,223367786
2024,9,240642392
2024,9,238437541
2024,12,243262531
2024,6,236218352
2024,6,240642405
2024,9,242242505
2024,9,238437536
2024,9,223367956
2024,9,242242373
2024,6,236218365
2024,2,236218379
2024,6,240642417
2024,6,223367981
2024,6,238437540
2024,12,223367995
2024,12,240642362
2024,14,242242440
2024,6,223367794
2024,6,225527325
2024,6,225528474
2024,6,226744344
2024,5,230183369
2024,8,220420773
2024,8,220420797
2024,8,220420974
2024,6,220420984
2024,8,220421004
2024,6,244630534
2024,2,220420967
2024,6,229561665
2024,8,243264527
2024,12,220421564
2024,8,220421583
2024,8,229561676
2024,8,220421626
2024,6,229561681
2024,6,220421558
2024,6,231528656
2024,5,220421578
2024,8,220421598
2024,8,220421676
2024,6,220421593
2024,6,220421734
2024,8,220421758
2024,7,229561706
2024,8,220421732
2024,8,220421742
2024,8,229561721
2024,6,220421760
2024,6,244630545
2024,8,222644793
2024,3,222644842
2024,6,222644850
2024,6,222644887
2024,1,222644899
2024,6,222644916
2024,8,222644970
2024,6,222644974
2024,8,222645100
2024,8,222645163
2024,6,229561744
2024,8,222645071
2024,8,222645116
2024,6,229561756
2024,8,222645182
2024,8,222645270
2024,8,229561772
2024,8,222645301
2024,8,222645308
2024,5,222645314
2024,6,222645289
2024,6,229561795
2024,8,222645392
2024,6,222645401
2024,8,222645476
2024,8,222645591
2024,8,222645647
2024,6,225530801
2024,8,225530869
2024,6,229561798
2024,8,225530839
2024,2,244630569
2024,6,237014568
2024,2,244630564
2024,8,241117411
2024,8,225530983
2024,8,225531009
2024,8,244630596
2024,8,225531338
2024,2,244631365
2024,8,225531471
2024,8,225531516
2024,8,225531428
2024,6,225531692
2024,6,225532035
2024,6,225532056
2024,6,225532102
2024,8,244630651
2024,1,244630593
2024,8,244630626
2024,8,244630644
2024,8,244630599
2024,8,244630624
2024,6,229561877
2024,6,244630659
2024,8,244630660
2024,6,245431907
2024,6,244630665
2024,1,244630693
2024,4,244630772
2024,8,244630729
2024,6,244630735
2024,8,245431910
2024,6,229561883
2024,7,244630809
2024,1,244630904
2024,6,244630815
2024,8,244630884
2024,8,244630891
2024,8,244630915
2024,8,244630966
2024,8,244630950
2024,6,244631043
2024,3,235118481
2024,6,235118481
2024,8,244631089
2024,8,244631118
2024,8,244631110
2024,6,238959815
2024,8,244631215
2024,8,244631235
2024,6,244631218
2024,8,244631243
2024,8,244631249
2024,8,244631253
2024,6,229562638
2024,8,244631290
2024,6,244631302
2024,6,244631352
2024,8,229561885
2024,6,244631368
2024,8,245431894
2024,8,244631385
2024,8,244631361
2024,8,244631374
2024,8,229561907
2024,8,244631359
2024,8,229561891
2024,8,229561984
2024,8,229562017
2024,6,229561937
2024,8,229561970
2024,6,229561989
2024,6,229562097
2024,8,229562138
2024,8,229562081
2024,6,229562129
2024,8,229562121
2024,8,229562157
2024,6,229562180
2024,8,229562203
2024,8,229562249
2024,8,229562184
2024,6,229562347
2024,8,231528720
2024,8,229562367
2024,8,229562314
2024,8,229562419
2024,8,229562381
2024,6,231529854
2024,6,231529865
2024,6,229562511
2024,8,229562539
2024,1,231528891
2024,3,231528957
2024,8,231528916
2024,8,231528955
2024,8,231528975
2024,8,231528944
2024,6,233485499
2024,2,231529003
2024,8,231529049
2024,6,231529091
2024,6,231529092
2024,8,231529149
2024,8,231529059
2024,6,231529191
2024,8,231529142
2024,8,231529207
2024,4,231529209
2024,8,231529239
2024,6,231529246
2024,6,231529398
2024,2,231529391
2024,8,231529404
2024,8,231529441
2024,8,231529483
2024,8,231529526
2024,8,231529468
2024,8,231529552
2024,3,231529553
2024,4,231529553
2024,8,231529599
2024,8,231529608
2024,8,231529647
2024,6,231529691
2024,6,231529699
2024,6,231529768
2024,6,231529781
2024,6,233485616
2024,6,231529797
2024,6,231529799
2024,8,231529696
2024,8,231529742
2024,8,231529772
2024,6,233485670
2024,6,233485661
2024,6,233486033
2024,6,233486326
2024,8,245376377
2024,8,233486312
2024,8,233486418
2024,6,233486515
2024,8,233486514
2024,8,233486639
2024,8,233486548
2024,6,233486608
2024,6,233486572
2024,8,233486870
2024,6,233486945
2024,8,233487138
2024,6,233487153
2024,8,235117620
2024,2,235117574
2024,6,235117602
2024,6,233487191
2024,2,235117652
2024,8,235117661
2024,6,235117760
2024,6,235250311
2024,6,237014658
2024,8,235117788
2024,8,235117795
2024,6,237014615
2024,8,235117882
2024,6,235117832
2024,6,235117914
2024,6,237014644
2024,8,235118005
2024,6,235117982
2024,6,237014691
2024,8,235118067
2024,3,238959822
2024,7,238959822
2024,8,235118255
2024,1,235118280
2024,8,235118234
2024,6,235118266
2024,8,235118338
2024,8,235118245
2024,2,235118368
2024,8,235118308
2024,2,235118411
2024,6,235118479
2024,8,235118460
2024,6,237014626
2024,8,235118480
2024,8,235118615
2024,6,235118563
2024,8,237014735
2024,8,237014666
2024,6,237014729
2024,8,237014838
2024,6,237014781
2024,8,237014820
2024,8,237014916
2024,6,237014937
2024,6,237014795
2024,6,237014942
2024,6,237014846
2024,6,237014926
2024,6,237014772
2024,6,237014878
2024,6,237016643
2024,6,237014915
2024,6,243264569
2024,6,237015031
2024,2,237015019
2024,6,237015012
2024,6,237015038
2024,8,237015140
2024,8,237015013
2024,8,237015072
2024,8,237015117
2024,6,237015076
2024,3,238960469
2024,6,238960470
2024,8,237015164
2024,6,237015203
2024,6,237015423
2024,6,237015370
2024,2,237015300
2024,8,237015398
2024,6,237015278
2024,6,238959840
2024,8,238959840
2024,3,245376458
2024,8,237015559
2024,8,238960553
2024,6,237015536
2024,6,237015580
2024,6,238959869
2024,6,238959871
2024,8,238959883
2024,6,238959932
2024,8,238959961
2024,8,238960020
2024,8,238960049
2024,6,238960061
2024,6,238960119
2024,6,238960099
2024,6,238960106
2024,6,238960126
2024,3,238960117
2024,6,238960117
2024,6,238960172
2024,8,238960183
2024,6,238960185
2024,8,238960197
2024,8,238960245
2024,6,238960219
2024,6,238960276
2024,6,238960303
2024,8,241117634
2024,6,241117652
2024,6,241117939
2024,6,243264696
2024,6,241118089
2024,8,241118259
2024,8,241118362
2024,8,241118588
2024,8,241118596
2024,8,241118610
2024,8,241118625
2024,8,241118527
2024,6,241118597
2024,6,241118607
2024,8,243264715
2024,8,241118630
2024,6,243264758
2024,8,241118689
2024,6,243264698
2024,6,243264711
2024,8,243264746
2024,6,224239012
2024,3,241117735
2024,6,241117736
2024,3,229148166
2024,8,229148167
2024,6,221960333
2024,3,224239064
2024,6,221960304
2024,3,221960439
2024,2,221960572
